station id, station name, valid,povp. dnevna T [°C],max. T [°C],min. T [°C]
_1892,MARIBOR - TABOR,1974-01-01,0.1,0.4,-0.4
_1892,MARIBOR - TABOR,1974-01-02,0.5,1,-0.3
_1892,MARIBOR - TABOR,1974-01-03,0.4,1.4,0
_1892,MARIBOR - TABOR,1974-01-04,0.9,2,0
_1892,MARIBOR - TABOR,1974-01-05,0.5,1.4,0.4
_1892,MARIBOR - TABOR,1974-01-06,0.7,1.3,-0.2
_1892,MARIBOR - TABOR,1974-01-07,1.2,4,0
_1892,MARIBOR - TABOR,1974-01-08,0.5,2.2,-0.8
_1892,MARIBOR - TABOR,1974-01-09,0.6,1.4,-0.4
_1892,MARIBOR - TABOR,1974-01-10,-1.3,0.4,-1.6
_1892,MARIBOR - TABOR,1974-01-11,-0.2,1,-2.4
_1892,MARIBOR - TABOR,1974-01-12,1.9,6.6,-1.6
_1892,MARIBOR - TABOR,1974-01-13,-1.4,1.2,-2.6
_1892,MARIBOR - TABOR,1974-01-14,-0.9,0.2,-1.1
_1892,MARIBOR - TABOR,1974-01-15,-0.6,0.7,-2.6
_1892,MARIBOR - TABOR,1974-01-16,1.3,3.9,-0.2
_1892,MARIBOR - TABOR,1974-01-17,1.7,6.6,0
_1892,MARIBOR - TABOR,1974-01-18,3.1,8.2,-2
_1892,MARIBOR - TABOR,1974-01-19,5,6.9,2.4
_1892,MARIBOR - TABOR,1974-01-20,7.3,14.7,3.6
_1892,MARIBOR - TABOR,1974-01-21,2.2,8.6,-1
_1892,MARIBOR - TABOR,1974-01-22,0.9,7.4,-4.2
_1892,MARIBOR - TABOR,1974-01-23,2,7.3,-1
_1892,MARIBOR - TABOR,1974-01-24,1,8.4,-2.2
_1892,MARIBOR - TABOR,1974-01-25,2.6,7.9,-1.4
_1892,MARIBOR - TABOR,1974-01-26,-1.3,5.7,-4.3
_1892,MARIBOR - TABOR,1974-01-27,-0.5,1,-3.1
_1892,MARIBOR - TABOR,1974-01-28,0.5,6.4,-1
_1892,MARIBOR - TABOR,1974-01-29,0.3,3,-3.4
_1892,MARIBOR - TABOR,1974-01-30,2.3,4.2,0.3
_1892,MARIBOR - TABOR,1974-01-31,5.8,13.8,0.6
_1892,MARIBOR - TABOR,1974-02-01,7.4,13.6,4.2
_1892,MARIBOR - TABOR,1974-02-02,4.7,9.1,-0.1
_1892,MARIBOR - TABOR,1974-02-03,6.6,11.6,1.2
_1892,MARIBOR - TABOR,1974-02-04,5,7,4.2
_1892,MARIBOR - TABOR,1974-02-05,4.9,10,1
_1892,MARIBOR - TABOR,1974-02-06,5.1,8.9,0.9
_1892,MARIBOR - TABOR,1974-02-07,3.1,7.1,0.5
_1892,MARIBOR - TABOR,1974-02-08,3.2,8.5,0
